prompt_id,layer,ctx,k_kind,rel,bit_class,kv_head,abs_delta_k,max_es_u0,max_es_future,future_amplified,n_queries,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_full
seq_0054,4,256,numeric,0.1,,4,0.07421875,0.018040180206298828,0.03546540439128876,True,16,True,True,True,True
seq_0054,4,256,bitflip,,sign,4,1.484375,0.36080408096313477,0.684707760810852,True,16,True,True,True,True
seq_0054,4,256,bitflip,,exponent,4,2.52553319199134e+38,inf,inf,False,16,True,True,True,True
seq_0054,4,256,bitflip,,mantissa,4,0.00390625,0.0009493827819824219,0.0018665939569473267,True,16,True,True,True,True
seq_0055,18,64,numeric,1e-06,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0055,18,64,numeric,1e-05,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0055,18,64,numeric,0.0001,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0055,18,64,numeric,0.001,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0055,18,64,numeric,0.01,,7,0.015625,0.0021255016326904297,0.0032584667205810547,True,16,True,True,True,True
seq_0055,18,64,numeric,0.1,,7,0.1640625,0.022318243980407715,0.03421378135681152,True,16,True,True,True,True
seq_0055,18,64,bitflip,,sign,7,3.203125,0.4357377290725708,0.6679837703704834,True,16,True,True,True,True
seq_0055,18,64,bitflip,,exponent,7,nan,nan,nan,False,16,True,True,True,True
seq_0055,18,64,bitflip,,mantissa,7,0.0078125,0.0010628700256347656,0.0016292333602905273,True,16,True,True,True,True
seq_0055,18,256,numeric,1e-06,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0055,18,256,numeric,1e-05,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0055,18,256,numeric,0.0001,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0055,18,256,numeric,0.001,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0055,18,256,numeric,0.01,,7,0.015625,0.004143238067626953,0.00634428858757019,True,16,True,True,True,True
seq_0055,18,256,numeric,0.1,,7,0.21875,0.05800485610961914,0.08881986141204834,True,16,True,True,True,True
seq_0055,18,256,bitflip,,sign,7,4.34375,1.151810646057129,1.7637099027633667,True,16,True,True,True,True
seq_0055,18,256,bitflip,,exponent,7,2.171875,0.5759052634239197,0.8818550109863281,True,16,True,True,True,True
seq_0055,18,256,bitflip,,mantissa,7,0.015625,0.004143238067626953,0.00634428858757019,True,16,True,True,True,True
seq_0056,31,64,numeric,1e-06,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0056,31,64,numeric,1e-05,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0056,31,64,numeric,0.0001,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0056,31,64,numeric,0.001,,0,0.0,0.0,0.0,False,16,False,False,False,False
